,BRANCH,LOCATION,geometry,LATITUDE,LONGITUDE
0,Albany Park,"(41.97557881655979, -87.71361314512697)","POLYGON ((-87.713613 41.979804, -87.715613 41.978256, -87.716431 41.976396, -87.718838 41.975579, -87.713613 41.97142, -87.707941 41.975579, -87.709613 41.977297, -87.713613 41.979804))",41.97557881655979,-87.71361314512697
1,Altgeld,"(41.65719847558056, -87.59883829075173)","POLYGON ((-87.598838 41.658345, -87.600699 41.658059, -87.600945 41.657305, -87.602389 41.656198, -87.600005 41.654032, -87.598838 41.654668, -87.597838 41.653877, -87.595908 41.656198, -87.597306 41.657731, -87.598838 41.658345))",41.65719847558056,-87.59883829075173
2,Archer Heights,"(41.80110836194246, -87.72648385568911)","POLYGON ((-87.724484 41.804201, -87.725484 41.804872, -87.726484 41.804449, -87.727484 41.804773, -87.730905 41.801529, -87.731694 41.800108, -87.728484 41.798141, -87.727388 41.799013, -87.723484 41.799314, -87.722657 41.800108, -87.721945 41.803108, -87.724484 41.804201))",41.80110836194246,-87.72648385568911
3,Austin,"(41.88917312206642, -87.7658203582574)","POLYGON ((-87.76482 41.892908, -87.76682 41.892895, -87.771161 41.889173, -87.76682 41.885727, -87.76582 41.885946, -87.76482 41.88545, -87.760967 41.888173, -87.76079 41.889173, -87.761338 41.890173, -87.76282 41.891376, -87.76382 41.891624, -87.76482 41.892908))",41.88917312206642,-87.7658203582574
4,Austin-Irving,"(41.95312267684315, -87.77928489355646)","POLYGON ((-87.779285 41.957309, -87.780285 41.956968, -87.784676 41.953123, -87.779285 41.949018, -87.774592 41.952123, -87.773851 41.953123, -87.779285 41.957309))",41.95312267684315,-87.77928489355646
5,Avalon,"(41.746393038286826, -87.5860053710736)","POLYGON ((-87.586005 41.750676, -87.590718 41.746393, -87.590182 41.745393, -87.586005 41.742029, -87.585005 41.742153, -87.584005 41.742903, -87.580925 41.746393, -87.582801 41.747393, -87.586005 41.750676))",41.746393038286826,-87.5860053710736
6,Back of the Yards,"(41.808384423666354, -87.67756963874196)","POLYGON ((-87.67457 41.810664, -87.678248 41.811063, -87.678926 41.810741, -87.679416 41.809231, -87.68157 41.809338, -87.682966 41.808384, -87.68157 41.807496, -87.678443 41.807511, -87.677866 41.805088, -87.67657 41.804607, -87.67207 41.808384, -87.672689 41.809384, -87.67457 41.810664))",41.808384423666354,-87.67756963874196
7,Beverly,"(41.72118978926962, -87.67214620967468)","POLYGON ((-87.673146 41.724896, -87.677385 41.72119, -87.676146 41.719815, -87.672146 41.717128, -87.671146 41.718339, -87.667749 41.719792, -87.666074 41.72119, -87.667454 41.721882, -87.668146 41.722991, -87.668584 41.722752, -87.668513 41.72319, -87.670146 41.72392, -87.672146 41.723824, -87.673146 41.724896))",41.72118978926962,-87.67214620967468
8,Bezazian,"(41.97155143669217, -87.66095347964183)","POLYGON ((-87.659953 41.974799, -87.664693 41.972551, -87.662326 41.971179, -87.662261 41.969859, -87.662961 41.969559, -87.662982 41.968551, -87.660953 41.967411, -87.658953 41.968312, -87.655651 41.971551, -87.657809 41.973551, -87.659953 41.974799))",41.97155143669217,-87.66095347964183
9,Blackstone,"(41.80549277198318, -87.58923748614112)","POLYGON ((-87.590237 41.808823, -87.591709 41.808965, -87.593935 41.806493, -87.594 41.805493, -87.592237 41.804286, -87.591237 41.804383, -87.58947 41.80226, -87.588237 41.801582, -87.586783 41.802493, -87.587569 41.803161, -87.587709 41.804493, -87.588622 41.805109, -87.588985 41.806745, -87.589947 41.807493, -87.590237 41.808823))",41.80549277198318,-87.58923748614112
